Generic Drug Name	Abdominal hernias and other abdominal wall conditions	Abortions and stillbirth	Acid-base disorders	Adjustment disorders (incl subtypes)	Administration site reactions	Adrenal gland disorders	Age related factors	Allergic conditions	Anaemias nonhaemolytic and marrow depression	Anal and rectal conditions NEC	Ancillary infectious topics	Aneurysms and artery dissections	Angioedema and urticaria	Anterior eye structural change/ deposit and degeneration	Anxiety disorders and symptoms	Appetite and general nutritional disorders	Arteriosclerosis/ stenosis/ vascular insufficiency and necrosis	Aural disorders NEC	Autoimmune disorders	Bacterial infectious disorders	Benign neoplasms gastrointestinal	Bile duct disorders	Bladder and bladder neck disorders (excl calculi)	Blood and lymphatic system disorders congenital	Body temperature conditions	Bone and joint injuries	Bone and joint therapeutic procedures	Bone disorders (excl congenital and fractures)	Bone/ calcium/ magnesium and phosphorus metabolism disorders	Breast disorders	Breast neoplasms benign (incl nipple)	Breast neoplasms malignant and unspecified (incl nipple)	Breast therapeutic procedures	Bronchial disorders (excl neoplasms)	Cancer-related morbidities	Cardiac and vascular disorders congenital	Cardiac and vascular investigations (excl enzyme tests)	Cardiac arrhythmias	Cardiac disorder signs and symptoms	Cardiac neoplasms	Cardiac therapeutic procedures	Cardiac valve disorders	Central nervous system infections and inflammations	Central nervous system vascular disorders	Cervix disorders (excl infections and inflammations)	Changes in physical activity	Chemical injury and poisoning	Chlamydial infectious disorders	Chromosomal abnormalities and abnormal gene carriers	Coagulopathies and bleeding diatheses (excl thrombocytopenic)	Cognitive and attention disorders and disturbances	Communication disorders and disturbances	Congenital and hereditary disorders NEC	Congenital and peripartum neurological conditions	Congenital cardiac disorders	Congenital ear disorders (excl deafness)	Congenital eye disorders (excl glaucoma)	Congenital reproductive tract and breast disorders	Congenital respiratory tract disorders	Connective tissue disorders (excl congenital)	Cornification and dystrophic skin disorders	Coronary artery disorders	Cranial nerve disorders (excl neoplasms)	Cutaneous neoplasms benign	Cytogenetic investigations	Cytoplasmic disorders congenital	Decreased and nonspecific blood pressure disorders and shock	Deliria (incl confusion)	Dementia and amnestic conditions	Demyelinating disorders	Dental and gingival conditions	Depressed mood disorders and disturbances	Developmental disorders NEC	Diabetic complications	Dissociative disorders	Disturbances in thinking and perception	Diverticular disorders	Ear and labyrinthine disorders congenital	Eating disorders and disturbances	Economic and housing issues	Ectoparasitic disorders	Electrolyte and fluid balance conditions	Embolism and thrombosis	Encephalopathies	Endocardial disorders	Endocrine and glandular disorders NEC	Endocrine disorders congenital	Endocrine disorders of gonadal function	Endocrine gland therapeutic procedures	Endocrine investigations (incl sex hormones)	Endocrine neoplasms benign	Endocrine neoplasms malignant and unspecified	Environmental issues	Enzyme investigations NEC	Epidermal and dermal conditions	Exocrine pancreas conditions	External ear disorders (excl congenital)	Eye disorders NEC	Eye disorders congenital	Eye therapeutic procedures	Family issues	Fatal outcomes	Female reproductive tract infections and inflammations	Foetal and neonatal investigations	Foetal complications	Food intolerance syndromes	Fractures	Fungal infectious disorders	Gallbladder disorders	Gastrointestinal conditions NEC	Gastrointestinal haemorrhages NEC	Gastrointestinal infections	Gastrointestinal inflammatory conditions	Gastrointestinal investigations	Gastrointestinal motility and defaecation conditions	Gastrointestinal neoplasms benign	Gastrointestinal neoplasms malignant and unspecified	Gastrointestinal signs and symptoms	Gastrointestinal stenosis and obstruction	Gastrointestinal therapeutic procedures	Gastrointestinal tract disorders congenital	Gastrointestinal ulceration and perforation	Gastrointestinal vascular conditions	Gender related factors	General system disorders NEC	Genitourinary tract disorders NEC	Glaucoma and ocular hypertension	Glucose metabolism disorders (incl diabetes mellitus)	Gonadotrophin and sex hormone changes	Haematological and lymphoid tissue therapeutic procedures	Haematological disorders NEC	Haematology investigations (incl blood groups)	Haematopoietic neoplasms (excl leukaemias and lymphomas)	Haemoglobinopathies	Haemolyses and related conditions	Head and neck therapeutic procedures	Headaches	Hearing disorders	Heart failures	Helminthic disorders	Hepatic and biliary neoplasms benign	Hepatic and hepatobiliary disorders	Hepatobiliary disorders congenital	Hepatobiliary investigations	Hepatobiliary neoplasms	Hepatobiliary neoplasms malignant and unspecified	Hepatobiliary therapeutic procedures	Hypothalamus and pituitary gland disorders	Immune disorders NEC	Immune system disorders congenital	Immunodeficiency syndromes	Immunology and allergy investigations	Impulse control disorders NEC	Inborn errors of metabolism	Increased intracranial pressure and hydrocephalus	Infections - pathogen unspecified	Infections and infestations congenital	Injuries NEC	Injuries by physical agents	Inner ear and VIIIth cranial nerve disorders	Investigations/ imaging and histopathology procedures NEC	Iron and trace metal metabolism disorders	Joint disorders	Legal issues	Leukaemias	Lifestyle issues	Lipid analyses	Lipid metabolism disorders	Lower respiratory tract disorders (excl obstruction and infection)	Lymphatic vessel disorders	Lymphomas Hodgkin's disease	Lymphomas NEC	Lymphomas non-Hodgkin's B-cell	Lymphomas non-Hodgkin's T-cell	Lymphomas non-Hodgkin's unspecified histology	Malabsorption conditions	Male genital tract therapeutic procedures	Male reproductive tract infections and inflammations	Malignant and unspecified neoplasms gastrointestinal NEC	Manic and bipolar mood disorders and disturbances	Maternal complications of labour and delivery	Maternal complications of pregnancy	Medication errors	Menopause and related conditions	Menstrual cycle and uterine bleeding disorders	Mental impairment disorders	Mesotheliomas	Metabolic and nutritional disorders congenital	Metabolic/ nutritional and blood gas investigations	Metabolism disorders NEC	Metastases	Microbiology and serology investigations	Middle ear disorders (excl congenital)	Miscellaneous and site unspecified neoplasms benign	Miscellaneous and site unspecified neoplasms malignant and unspecified	Mood disorders and disturbances NEC	Movement disorders (incl parkinsonism)	Muscle disorders	Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders)	Musculoskeletal and connective tissue disorders NEC	Musculoskeletal and connective tissue disorders congenital	Musculoskeletal and connective tissue neoplasms	Musculoskeletal and soft tissue investigations (excl enzyme tests)	Mycobacterial infectious disorders	Mycoplasmal infectious disorders	Myocardial disorders	Neonatal and perinatal conditions	Neonatal respiratory disorders	Neoplastic and ectopic endocrinopathies	Nephropathies	Nervous system neoplasms benign	Nervous system neoplasms malignant and unspecified NEC	Nervous system/ skull and spine therapeutic procedures	Neurological disorders NEC	Neurological disorders congenital	Neurological disorders of the eye	Neurological/ special senses and psychiatric investigations	Neuromuscular disorders	Obstetric and gynaecological therapeutic procedures	Ocular haemorrhages and vascular disorders NEC	Ocular infections/ irritations and inflammations	Ocular injuries	Ocular neoplasms	Ocular neuromuscular disorders	Ocular sensory symptoms NEC	Ocular structural change/ deposit and degeneration NEC	Oral soft tissue conditions	Ovarian and fallopian tube disorders	Parathyroid gland disorders	Penile and scrotal disorders (excl infections and inflammations)	Pericardial disorders	Peripheral neuropathies	Peritoneal and retroperitoneal conditions	Personality disorders and disturbances in behaviour	Physical examination topics	Pigmentation disorders	Placental/ amniotic and cavity disorders (excl haemorrhages)	Plasma cell neoplasms	Platelet disorders	Pleural disorders	Postpartum and puerperal disorders	Pregnancy/ labour/ delivery and postpartum conditions	Procedural and device related injuries and complications NEC	Prostatic disorders (excl infections and inflammations)	Protein and amino acid metabolism disorders NEC	Protein and chemistry analyses NEC	Protozoal infectious disorders	Psychiatric and behavioural symptoms NEC	Psychiatric disorders NEC	Psychiatric therapeutic procedures	Pulmonary vascular disorders	Purine and pyrimidine metabolism disorders	Red blood cell disorders	Renal and urinary tract disorders congenital	Renal and urinary tract investigations and urinalyses	Renal and urinary tract neoplasms benign	Renal and urinary tract neoplasms malignant and unspecified	Renal and urinary tract therapeutic procedures	Renal disorders (excl nephropathies)	Reproductive and genitourinary neoplasms gender unspecified NEC	Reproductive neoplasms female benign	Reproductive neoplasms female malignant and unspecified	Reproductive neoplasms male benign	Reproductive neoplasms male malignant and unspecified	Reproductive organ and breast investigations (excl hormone analyses)	Reproductive tract and breast disorders congenital	Reproductive tract disorders NEC	Respiratory and mediastinal neoplasms benign (excl mesotheliomas)	Respiratory and mediastinal neoplasms malignant and unspecified	Respiratory and pulmonary investigations (excl blood gases)	Respiratory disorders NEC	Respiratory disorders congenital	Respiratory tract infections	Respiratory tract neoplasms	Respiratory tract therapeutic procedures	Retina/ choroid and vitreous haemorrhages and vascular disorders	Rickettsial infectious disorders	Salivary gland conditions	Schizophrenia and other psychotic disorders	Seizures (incl subtypes)	Sexual dysfunctions/ disturbances and gender identity disorders	Sexual function and fertility disorders	Skeletal neoplasms benign	Skeletal neoplasms malignant and unspecified	Skin and subcutaneous tissue disorders NEC	Skin and subcutaneous tissue disorders congenital	Skin and subcutaneous tissue infections and infestations	Skin and subcutaneous tissue therapeutic procedures	Skin appendage conditions	Skin investigations	Skin neoplasms malignant and unspecified	Skin vascular abnormalities	Sleep disorders and disturbances	Sleep disturbances (incl subtypes)	Soft tissue neoplasms benign	Soft tissue neoplasms malignant and unspecified (excl sarcomas)	Soft tissue sarcomas	Soft tissue therapeutic procedures	Somatoform and factitious disorders	Spinal cord and nerve root disorders	Spleen/ lymphatic and reticuloendothelial system disorders	Structural brain disorders	Suicidal and self-injurious behaviours NEC	Synovial and bursal disorders	Tendon/ ligament and cartilage disorders	Testicular and epididymal disorders	Therapeutic and nontherapeutic effects (excl toxicity)	Therapeutic procedures and supportive care NEC	Thoracic disorders (excl lung and pleura)	Thyroid gland disorders	Tissue disorders NEC	Tongue conditions	Toxicology and therapeutic drug monitoring	Upper respiratory tract disorders (excl infections)	Ureteric disorders	Urethral disorders (excl calculi)	Urinary tract signs and symptoms	Urolithiases	Uterine/ pelvic and broad ligament disorders	Vascular disorders NEC	Vascular haemorrhagic disorders	Vascular hypertensive disorders	Vascular inflammations	Vascular injuries	Vascular therapeutic procedures	Venous varices	Viral infectious disorders	Vision disorders	Vitamin related disorders	Vulvovaginal disorders (excl infections and inflammations)	Water/ electrolyte and mineral investigations	White blood cell disorders
5/6-Dimethylxanthenone-4-Acetic Acid	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	1	0	0	2	2
5-Hydroxytryptophan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE Inhibitor	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	6	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1
Abacavir	5	47	160	0	3	0	0	701	151	2	13	3	84	5	48	120	244	22	14	94	0	10	3	0	873	36	3	27	29	17	0	1	0	11	0	0	113	202	331	0	0	8	33	2	3	7	189	2	3	27	5	23	5	3	0	0	0	0	0	1	9	0	9	9	0	3	180	10	1	0	5	59	0	6	9	27	2	4	3	2	0	217	20	17	1	0	0	2	0	12	1	1	0	193	852	141	4	28	0	0	1	41	2	2	16	2	4	79	25	49	0	37	39	85	420	2	2	892	6	1	2	27	15	1	1046	2	4	94	0	24	7	249	3	4	89	0	287	13	20	3	1	347	0	449	2	0	2	13	17	0	99	13	0	0	8	297	0	69	14	16	28	6	192	2	4	32	82	150	113	0	1	16	4	0	5	5	0	6	6	13	11	4	54	1	1	48	0	2	104	79	2	71	5	2	6	64	75	382	1	118	10	0	11	45	1	44	38	0	0	50	0	3	0	442	2	25	20	21	43	0	110	0	0	5	0	9	99	0	2	3	13	83	37	29	167	7	3	0	99	22	0	105	6	2	14	57	17	14	36	0	18	6	12	0	142	2	2	0	224	0	4	0	0	0	1	4	1	0	5	22	404	0	41	1	0	2	3	26	18	58	5	2	0	0	108	1	50	0	25	3	0	39	48	60	1	0	1	1	3	9	120	1	31	5	7	3	152	3	5	12	15	31	23	47	2	1	110	21	1	79	106	74	25	0	1	3	108	31	18	4	60	178
Abarelix	0	0	0	0	5	0	0	2	2	0	0	0	6	0	1	3	2	0	0	3	0	0	0	0	3	1	0	1	0	1	0	0	0	1	0	0	7	6	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	1	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	5	0	0	2	0	0	0	1	0	0	20	1	0	0	0	1	0	2	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	3	0	2	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	3	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	2	0	7	1	1	0	0	0	0	0	1	0	0	3	0
Abatacept	3	3	1	0	42	0	0	50	8	4	1	3	48	3	16	19	33	5	13	33	1	1	4	0	54	12	4	11	0	11	0	11	0	21	1	0	45	22	74	0	1	1	5	3	2	0	2	0	0	3	0	6	0	0	0	0	0	0	0	1	5	0	2	0	0	0	44	0	1	1	10	14	0	1	1	2	0	0	1	0	0	52	23	5	3	0	0	0	0	1	1	3	0	6	175	6	0	8	0	0	0	18	0	0	0	0	1	17	6	5	0	13	9	2	32	0	4	142	3	0	0	11	1	0	212	1	0	7	0	1	0	33	2	0	1	1	101	5	17	0	0	17	0	26	2	0	1	1	23	0	0	3	0	0	1	160	0	20	3	6	0	0	83	0	5	1	2	3	27	2	0	2	4	1	2	2	0	1	2	0	0	0	30	0	5	9	0	0	22	3	7	5	1	2	9	2	16	35	2	71	0	0	1	7	1	9	0	0	0	2	0	2	0	99	1	2	0	2	0	0	25	0	0	0	2	3	65	0	0	0	6	13	2	1	33	2	0	1	10	7	0	6	5	3	0	2	0	2	1	0	10	0	0	0	3	1	1	0	18	0	2	3	0	0	0	0	4	0	6	0	119	0	7	0	1	1	1	2	0	15	0	0	0	0	13	0	43	0	28	0	18	30	7	8	1	0	0	0	1	4	6	1	2	3	3	0	178	4	4	2	10	23	0	21	0	0	13	4	1	16	27	34	12	1	0	1	11	29	0	1	2	16
Abciximab	3	0	21	0	182	0	0	42	43	0	1	37	10	2	8	8	766	2	2	18	0	0	0	0	127	4	9	3	1	1	0	0	0	8	0	3	209	418	84	0	7	26	0	1	0	0	4	0	0	30	6	16	0	0	0	0	0	0	0	0	0	18	3	0	0	0	323	1	3	0	32	1	0	3	0	2	4	0	0	0	0	52	155	2	0	0	0	0	0	0	0	0	0	56	54	5	0	2	0	0	0	57	0	0	0	2	0	0	4	9	0	1	17	9	7	2	3	104	5	1	0	26	3	0	311	3	0	11	0	20	1	372	0	0	10	0	34	0	239	0	0	16	0	15	0	0	1	2	3	0	0	9	0	0	21	104	0	64	5	0	7	2	7	0	1	7	18	5	153	1	0	0	0	0	0	0	0	0	3	0	0	0	38	0	3	8	0	0	60	4	4	9	0	0	0	10	67	16	1	31	0	0	0	0	0	72	0	0	0	4	0	0	0	160	0	3	7	2	0	0	3	2	0	2	1	1	2	0	0	6	115	3	149	7	19	0	0	0	1072	26	0	0	172	2	0	5	0	1	5	0	10	1	1	0	63	1	0	1	107	0	1	0	0	0	0	0	0	0	4	18	263	0	5	0	1	1	0	1	3	11	0	0	0	0	2	0	1	0	2	0	1	119	5	0	2	0	0	0	0	2	8	6	0	1	0	1	114	7	3	3	5	7	12	92	0	1	28	1	0	148	1094	43	2	4	27	1	3	11	2	0	7	26
Acamprosate	0	1	5	0	0	0	0	6	1	0	6	0	5	0	11	5	8	0	0	1	0	1	0	0	5	4	0	0	0	1	0	0	0	0	0	0	7	15	6	0	0	0	0	1	0	1	12	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	1	0	1	9	0	0	0	4	0	0	0	0	0	13	4	3	0	0	0	0	0	1	0	0	0	5	25	1	0	3	1	0	0	3	0	0	2	0	0	2	2	0	0	0	1	0	29	0	0	33	0	0	1	0	1	0	36	0	0	7	0	3	0	18	0	0	8	0	9	1	0	0	1	16	0	13	0	0	2	1	0	0	0	0	0	0	1	8	0	16	1	1	1	0	6	3	0	9	0	2	2	0	0	0	0	0	0	0	0	0	0	1	3	0	11	0	0	11	0	0	7	2	0	1	0	0	0	3	6	8	0	5	0	0	0	0	0	1	2	0	0	0	0	0	0	38	1	1	1	0	3	0	4	0	0	0	0	0	2	0	0	0	1	0	1	4	9	0	2	0	3	0	0	7	0	0	0	3	0	4	25	0	0	1	0	0	4	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	6	2	11	5	0	0	0	0	0	0	0	1	0	0	5	11	8	0	0	0	0	1	0	3	1	13	0	1	0	21	4	0	0	1	5	20	0	0	0	9	0	0	6	8	5	1	0	0	0	0	3	1	0	5	4
Acarbose	2	4	19	0	0	0	0	12	22	0	10	0	11	0	4	22	29	0	6	11	0	5	0	0	50	4	0	1	0	0	0	3	0	2	0	0	16	33	22	0	0	1	0	1	0	0	17	0	0	6	1	8	0	0	0	0	0	0	0	0	2	0	3	0	0	0	29	0	2	0	3	3	0	2	1	0	2	0	1	0	0	39	4	2	0	1	0	0	0	4	0	0	0	25	63	14	0	1	0	1	0	5	0	0	0	2	0	3	14	13	0	3	8	5	69	0	4	154	17	1	0	9	3	0	120	0	0	139	0	10	0	52	5	0	32	0	8	0	13	0	0	142	0	81	6	0	0	1	6	0	0	5	0	0	1	56	0	33	3	3	14	2	17	0	4	2	1	23	7	1	0	1	0	0	0	2	0	0	1	2	1	0	18	0	1	6	0	1	30	6	0	4	0	0	0	5	18	15	1	6	0	0	0	1	0	4	1	0	0	8	0	0	1	97	0	0	2	1	0	0	4	0	0	1	0	1	6	0	0	0	0	1	8	1	31	1	0	0	28	3	0	0	4	2	4	9	0	1	10	0	3	0	0	0	18	0	2	0	50	0	0	0	0	0	0	0	1	0	1	0	27	0	0	0	1	0	0	1	2	8	2	1	0	0	4	0	3	0	5	0	0	21	5	2	0	0	0	0	0	3	6	1	7	0	0	0	34	1	1	8	8	6	6	4	0	0	23	3	0	12	27	18	7	0	0	2	6	4	2	0	7	27
Ace Inhibitor-Verbatim	0	0	7	0	1	1	0	6	5	0	0	0	14	0	0	1	9	0	0	0	0	1	0	0	3	0	1	1	1	0	0	0	0	1	1	0	19	22	17	0	1	2	0	0	0	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	0	1	0	0	0	2	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	0	4	12	3	0	2	0	0	0	5	0	0	0	0	0	0	1	6	0	0	1	3	5	0	1	13	1	0	0	0	0	0	21	0	0	4	0	12	0	7	0	0	0	0	8	0	17	0	0	0	0	7	0	0	0	0	4	0	0	1	0	0	1	7	0	1	0	0	0	0	4	0	0	2	1	0	6	1	0	0	0	0	0	0	0	0	1	0	1	0	19	0	0	3	0	0	10	0	0	1	0	0	1	6	2	9	0	4	0	0	1	0	0	4	0	0	0	4	0	0	0	28	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	5	0	0	1	2	1	0	0	5	0	0	1	0	0	6	0	0	1	0	0	12	0	0	0	35	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	13	0	0	0	23	0	0	0	0	5	5	5	0	0	2	2	1	4	5	10	0	0	0	0	0	3	0	0	9	4
